human	humanLabel
http://www.wikidata.org/entity/L34111	L34111
http://www.wikidata.org/entity/Q23	George Washington
http://www.wikidata.org/entity/Q24	Jack Bauer
http://www.wikidata.org/entity/Q42	Douglas Adams
http://www.wikidata.org/entity/Q76	Barack Obama
http://www.wikidata.org/entity/Q80	Tim Berners-Lee
http://www.wikidata.org/entity/Q91	Abraham Lincoln
http://www.wikidata.org/entity/Q112	Mars
http://www.wikidata.org/entity/Q157	François Hollande
http://www.wikidata.org/entity/Q181	Jimmy Wales
http://www.wikidata.org/entity/Q185	Larry Sanger
http://www.wikidata.org/entity/Q186	Ken Jennings
http://www.wikidata.org/entity/Q192	David Cameron
http://www.wikidata.org/entity/Q206	Stephen Harper
http://www.wikidata.org/entity/Q207	George W. Bush
http://www.wikidata.org/entity/Q254	Wolfgang Amadeus Mozart
http://www.wikidata.org/entity/Q255	Ludwig van Beethoven
http://www.wikidata.org/entity/Q260	Jean-François Champollion
http://www.wikidata.org/entity/Q272	Paul Morand
http://www.wikidata.org/entity/Q296	Claude Monet
http://www.wikidata.org/entity/Q297	Diego Velázquez
http://www.wikidata.org/entity/Q301	El Greco
http://www.wikidata.org/entity/Q302	Jesus Christ
http://www.wikidata.org/entity/Q303	Elvis Arkhel Presley
http://www.wikidata.org/entity/Q306	Sebastian Piñera
http://www.wikidata.org/entity/Q307	Galileo Galilei
http://www.wikidata.org/entity/Q326	Eduardo Frei Ruiz-Tagle
http://www.wikidata.org/entity/Q329	Nicolas Sarkozy
http://www.wikidata.org/entity/Q331	Ricardo Lagos
http://www.wikidata.org/entity/Q335	Patricio Aylwin
http://www.wikidata.org/entity/Q346	Louis IX of France
http://www.wikidata.org/entity/Q352	Adolf Hitler
http://www.wikidata.org/entity/Q354	Piet Kraak
http://www.wikidata.org/entity/Q360	Julian Assange
http://www.wikidata.org/entity/Q368	Augusto Pinochet
http://www.wikidata.org/entity/Q377	Yanka Kupala
http://www.wikidata.org/entity/Q379	František Plánička
http://www.wikidata.org/entity/Q392	Bob Dylan
http://www.wikidata.org/entity/Q409	Bob Marley
http://www.wikidata.org/entity/Q410	Carl Sagan
http://www.wikidata.org/entity/Q440	Salvador Allende
http://www.wikidata.org/entity/Q444	Lech Wałęsa
http://www.wikidata.org/entity/Q448	Denis Diderot
http://www.wikidata.org/entity/Q449	Georges Brassens
http://www.wikidata.org/entity/Q464	Philipp Ludwig von Seidel
http://www.wikidata.org/entity/Q475	Eduardo Frei Montalva
http://www.wikidata.org/entity/Q489	Bill Maher
http://www.wikidata.org/entity/Q493	Arthur Rimbaud
http://www.wikidata.org/entity/Q498	Ulrich Frédéric Woldemar, Comte de Lowendal
http://www.wikidata.org/entity/Q501	Charles Baudelaire
http://www.wikidata.org/entity/Q502	Stendhal
http://www.wikidata.org/entity/Q504	Émile Zola
http://www.wikidata.org/entity/Q512	Vladimir Vysotsky
http://www.wikidata.org/entity/Q517	Napoleon
http://www.wikidata.org/entity/Q529	Louis Pasteur
http://www.wikidata.org/entity/Q530	Ingemar Stenmark
http://www.wikidata.org/entity/Q535	Victor Hugo
http://www.wikidata.org/entity/Q539	Giuseppe Garibaldi
http://www.wikidata.org/entity/Q558	Hedi Slimane
http://www.wikidata.org/entity/Q559	Claude Bourgelat
http://www.wikidata.org/entity/Q562	Pierre Poivre
http://www.wikidata.org/entity/Q576	Jorge Alessandri
http://www.wikidata.org/entity/Q579	Carlos Ibáñez del Campo
http://www.wikidata.org/entity/Q590	Luís de Camões
http://www.wikidata.org/entity/Q600	Ichiro Suzuki
http://www.wikidata.org/entity/Q603	Frédéric Taddeï
http://www.wikidata.org/entity/Q605	Ezra Klein
http://www.wikidata.org/entity/Q607	Michael Bloomberg
http://www.wikidata.org/entity/Q615	Lionel Messi
http://www.wikidata.org/entity/Q619	Nicolaus Copernicus
http://www.wikidata.org/entity/Q624	Alessandro Del Piero
http://www.wikidata.org/entity/Q632	Jean Moulin
http://www.wikidata.org/entity/Q633	Neil Young
http://www.wikidata.org/entity/Q651	Friedrich Theodor Vischer
http://www.wikidata.org/entity/Q675	André-Marie Ampère
http://www.wikidata.org/entity/Q680	Alessandro Volta
http://www.wikidata.org/entity/Q687	Molière
http://www.wikidata.org/entity/Q692	William Shakespeare
http://www.wikidata.org/entity/Q700	Swedish Chef
